component	source_file	stored_file	sha256	provenance
crossbeam-utils@0.8.23	LICENSE-MIT	files/5734ed989dfca1f625b40281ee9f4530f91b2411ec01cb748223e7eb87e201ab-LICENSE-MIT	5734ed989dfca1f625b40281ee9f4530f91b2411ec01cb748223e7eb87e201ab	Exact crate/package file or exact upstream commit evidence
data-encoding@2.11.1	LICENSE	files/b68ad1a3367b825447089e1f8d6829b97f47a89eb78d2f4ebaef4672f5606186-LICENSE	b68ad1a3367b825447089e1f8d6829b97f47a89eb78d2f4ebaef4672f5606186	Exact crate/package file or exact upstream commit evidence
dirs@6.0.0	LICENSE-APACHE	files/d3174ad63e721d4c9dccb8ad4320848992d314369bc46319720b5802c9153fe9-LICENSE-APACHE	d3174ad63e721d4c9dccb8ad4320848992d314369bc46319720b5802c9153fe9	Exact crate/package file or exact upstream commit evidence
dirs@6.0.0	LICENSE-MIT	files/6a2e0ade09a7d5f816f11566fee2b151b32235a7fad52b41d49cce96f833c1a9-LICENSE-MIT	6a2e0ade09a7d5f816f11566fee2b151b32235a7fad52b41d49cce96f833c1a9	Exact crate/package file or exact upstream commit evidence
dirs-sys@0.5.0	LICENSE-APACHE	files/d3174ad63e721d4c9dccb8ad4320848992d314369bc46319720b5802c9153fe9-LICENSE-APACHE	d3174ad63e721d4c9dccb8ad4320848992d314369bc46319720b5802c9153fe9	Exact crate/package file or exact upstream commit evidence
dirs-sys@0.5.0	LICENSE-MIT	files/6a2e0ade09a7d5f816f11566fee2b151b32235a7fad52b41d49cce96f833c1a9-LICENSE-MIT	6a2e0ade09a7d5f816f11566fee2b151b32235a7fad52b41d49cce96f833c1a9	Exact crate/package file or exact upstream commit evidence
email_address@0.2.9	LICENSE	files/39712155836e5c10ef1b07037b606e4ad2d633e72205d162fdd7e2290aa54f15-LICENSE	39712155836e5c10ef1b07037b606e4ad2d633e72205d162fdd7e2290aa54f15	Exact crate/package file or exact upstream commit evidence
erased-serde@0.4.10	LICENSE-APACHE	files/62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE	62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a	Exact crate/package file or exact upstream commit evidence
erased-serde@0.4.10	LICENSE-MIT	files/23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3	Exact crate/package file or exact upstream commit evidence
errno@0.3.14	LICENSE-APACHE	files/a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE	a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2	Exact crate/package file or exact upstream commit evidence
